koi_disposition,koi_period,koi_duration,koi_depth,koi_sma,koi_incl,koi_teq,koi_dor,koi_ldm_coeff2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_smass,ra,koi_imag,koi_zmag,koi_fwm_stat_sig,koi_fwm_sdec,koi_dicco_msky,koi_dikco_msky
0,2.837245342,2.112129672,-0.320231645,2.926455915,0.534497936,-0.990061827,0.52826786,0.44193164,-0.279168976,-0.355645815,-0.453551324,-0.740906163,0.601877372,0.435985402,0.367674565,0.718923403,0.269112046,-0.364724887,1.254687287,1.334052408,1.542250855,-0.719243318,-0.629765809,-0.623558577
0,0.336175771,0.130998006,0.2832467,0.748190597,0.505833828,-0.808233872,0.295700352,0.717940752,-0.134181519,0.406022668,-0.453551324,-0.725355999,-0.711946071,0.500078583,0.340744125,0.718923403,0.319172618,-0.945857344,1.296538077,1.385540413,-0.528058325,1.510760118,-0.611596642,-0.569137446
0,-0.403461389,0.086510958,-0.331911526,-0.377252114,-0.107458649,0.15970057,-0.347019252,0.443465024,-0.273285887,-0.319080409,-0.453551324,-0.407441538,0.645902541,0.475892477,-0.63997275,1.66872399,1.109017209,-1.531738704,-0.67349278,-0.664325794,-0.528058325,0.388030417,0.175733948,2.324252708
0,-0.460955823,-0.576485402,-0.333277569,-0.607609836,-0.672380443,1.667674925,-0.365617823,0.711807216,-0.279125035,-0.359634768,-0.453551324,3.856758943,1.109009849,0.698404652,0.015334635,-0.019810388,0.099462327,-0.223019765,-10.69561577,-11.23545686,-0.502498952,2.118599575,0.006155052,-0.018879339
0,2.455536589,0.681419294,-0.329438517,2.560991025,0.541663963,-0.986795456,1.270025023,0.560002205,-0.280779957,-0.362183266,-0.453551324,-0.746089551,-0.711946071,0.363427084,0.426023853,0.12090081,0.032714897,-0.378889505,0.587357406,0.648618338,-0.528058325,-12.25938708,-0.629765809,-0.623558577
1,-0.140934693,0.241145468,-0.325755769,0.087178776,0.540469625,-0.679756634,-0.115612874,0.070852723,-0.273702723,-0.322293733,0.661048345,-0.680433303,-0.129502454,0.047798402,0.29137165,0.965167999,-0.020126819,-1.286136561,0.582791865,0.634137337,1.963980502,0.365159298,-0.572230112,-0.575184238
1,0.029586337,-0.322663592,-0.324160624,0.263831399,0.518374375,-0.879005232,0.241400449,-1.694072208,-0.277259667,-0.347667908,0.661048345,-0.714989223,-0.542589677,-0.930529584,0.670642021,1.035523598,-0.498483402,0.43050612,0.62996912,0.624483336,-0.004091187,-0.86484004,-0.469271497,-0.336335939
1,0.087301863,-0.144543022,-0.329920272,0.428324376,0.535095105,-0.700443647,0.289211684,0.44193164,-0.277184002,-0.3474463,0.661048345,-0.723628203,0.753061676,0.392450411,-0.056479873,0.683745603,0.194021187,0.746038829,-0.656752464,-0.649844793,-0.063729723,-1.346198345,-0.481384275,-0.463318579
0,-0.460275145,-0.686417396,-0.328389362,-0.604907693,-1.190125893,0.848904734,-0.364784541,-0.406029686,-0.279036878,-0.321739711,-0.453551324,3.220930022,1.1565945,-0.202527795,0.576385479,0.718923403,-0.167527394,-2.339380856,0.753999645,0.799864354,-0.528058325,-0.216681172,0.993346484,0.959794007
0,-0.444502064,-0.331052496,2.182431699,-0.54681161,-0.103278466,-0.141894301,-0.318059304,0.354528755,1.661237239,0.056878445,-0.453551324,0.226659587,0.848043636,-0.469784265,0.921992799,-3.045101149,-0.954590842,-0.349467769,0.176458733,0.174767791,-0.528058325,-0.072598727,-0.611293822,-0.61388371
0,-0.212411937,-0.607656502,-0.327779139,-0.043199641,0.541663963,-0.678667844,0.581543237,0.199656975,-0.280779957,-0.364731764,-0.453551324,-0.746089551,-0.711946071,-0.007829642,0.544966632,-0.019810388,-0.253742825,-1.421368774,1.021844706,1.095115883,-0.242645331,-0.23589549,-0.629765809,-0.049113301
1,-0.450819858,-0.587804677,-0.332072111,-0.561673399,0.437756571,0.217406448,-0.328646078,-0.406029686,-0.275731057,-0.346116649,0.661048345,0.560124211,1.155283112,-0.409319001,0.43724487,0.683745603,-0.403924543,-2.275133819,-0.581421041,-0.62329629,-0.425820834,0.152818252,-0.466243302,-0.469365372
0,1.634635891,0.873904425,-0.330616141,2.257337665,0.52136022,-0.659069622,0.358879484,0.739408127,-0.279019406,-0.3526541,-0.453551324,-0.735722775,-0.336701759,1.011614724,-1.640887455,-1.356566771,1.292572642,1.113144305,-0.911661826,-0.915329819,3.608300139,-0.767611166,-0.544976361,-0.508669522
0,0.04897315,0.195897098,-0.313594133,0.187158081,0.429993376,-0.950865381,-0.184802562,-2.123419715,-0.272452263,-0.333041746,-0.453551324,-0.708078039,0.29519992,-1.681508173,0.760410156,-0.723366379,-1.207674848,1.571386227,0.191677202,0.07340078,-0.528058325,-0.711132506,-0.151311066,-0.278891412
