koi_disposition,koi_period,koi_duration,koi_depth,koi_ror,koi_sma,koi_incl,koi_teq,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_smass,ra,koi_imag,koi_zmag,koi_fwm_stat_sig,koi_fwm_sdec,koi_dicco_msky,koi_dikco_msky
1,-0.430686344,-0.462229676,-0.329513457,-0.089811723,-0.495133118,0.477766889,-0.169114055,-0.299481224,-1.066918171,1.125164649,-0.275920927,-0.338803567,1.775648014,-0.189739245,1.017212689,-0.657226587,0.304836871,1.035523598,-0.548543975,0.046126925,0.849115078,0.906862864,1.448533155,1.15759788,-0.502581637,-0.496575938
0,2.937823731,0.142130542,-0.066828551,-0.02088173,2.970027977,0.541663963,-0.954131752,1.889522028,-0.467365045,0.613325659,-0.280779957,0.730568346,-0.453551324,-0.746089551,-0.711946071,-0.22429529,-0.500832141,2.020501986,0.207926901,0.024573718,-1.440503636,-1.505832879,-0.519538534,-1.703259434,-0.618561489,-0.57427722
1,-0.42139295,-0.523523262,-0.323389817,-0.085829065,-0.461694094,0.359527443,-0.27908186,-0.288348037,-1.066918171,1.125164649,-0.27559324,-0.339579197,-0.453551324,-0.386707987,-0.644503259,-0.470993571,0.556187648,1.105879198,-0.270429682,1.189596195,1.139787843,1.190046893,3.723317315,1.175957543,-0.563145529,-0.590301219
1,-0.42769416,-0.422497298,-0.325359659,-0.087259663,-0.480609098,0.408495295,-0.175646796,-0.305423478,0.184323136,-0.112944965,-0.269478128,-0.302348966,-0.453551324,-0.208745001,0.093995531,-0.102155455,0.583118089,-0.019810388,-0.278773111,0.443906619,0.80345967,0.85859286,-0.528058325,1.559146012,-0.609779725,-0.575788918
0,-0.452118587,-0.617783518,-0.309740094,-0.079694187,-0.566064382,-0.089543581,0.303420869,-0.346199631,0.237991574,-0.178206767,-0.252870912,-0.170159484,-0.453551324,0.777826505,1.16146537,-0.017504084,0.580873886,-0.230877185,-0.284335397,0.738483945,0.945752359,1.017079376,-0.528058325,1.569538332,-0.23852307,-0.277682053
0,5.43820252,6.836921413,-0.139627074,-0.054455573,4.468366472,0.516582868,-1.064099557,0.204107686,-0.682038798,0.844538901,-0.260069602,0.341312981,-0.453551324,-0.740906163,-0.71175873,-0.252109312,0.363186158,2.161213184,0.004903468,0.956013664,0.769979038,0.799864354,-0.528058325,1.559846269,-0.234283597,-0.293403714
1,-0.127547582,-0.03278673,-0.325648712,-0.087406517,0.08008565,0.511208348,-0.701532437,-0.051614121,-0.484232268,0.602137922,-0.273956453,-0.33237692,-0.453551324,-0.682161099,0.016623638,-0.299272219,0.145498431,1.035523598,-0.314927969,-0.091563942,0.691603921,0.730677347,-0.528058325,1.605806232,-0.096803564,-0.611464993
1,-0.102726175,-0.170442328,-0.309740094,-0.082225885,0.082450025,0.542261132,-0.799523551,0.105138429,-1.694072208,1.650988311,-0.272689623,-0.314094217,1.775648014,-0.701166855,-0.421379956,-0.843459602,0.405826022,1.035523598,-0.631978263,-1.085663746,1.124569374,1.128100387,-0.004091187,1.296217258,-0.593427474,-0.599371408
1,-0.32441825,-0.367854504,-0.321409269,-0.08448547,-0.262748789,0.433576389,-0.631849868,-0.209391197,-1.62506993,1.581997263,-0.274144409,-0.334038984,-0.453551324,-0.633782812,0.890757417,-0.862808487,0.43724487,0.824456801,-0.676476549,1.024851729,0.743346716,0.754007849,0.183344212,1.324995301,-0.563145529,-0.56611405
1,-0.178153155,-0.146396051,-0.314129416,-0.083204812,-0.01246276,0.54345547,-0.726574611,-0.009608536,-0.053351377,0.149966865,-0.267671343,-0.282182591,0.661048345,-0.687344487,0.484414475,-0.172295162,0.574141275,-0.582655181,-0.512389117,-1.355303008,0.598010334,0.642986838,-0.327843239,1.332651325,-0.605540253,-0.578207635
